src,tgt,dataset,human,annotator_1,annotator_2
"Biri onu, bu iş için tutmuş olmalı.",Birisi onu bunun için tutmuş olmalı.,ost,3,3,3
Üç kez üst üste başarısız oldum.,Üst üste üçüncü kez başarısız oldum.,ost,3,3,3
"Haydi köpekler, yapmanız gereken bir iş var.","Hadi, köpekler, yapmanız gereken bir iş var.",ost,3,3,3
"Evet, peki, sana da iyi günler.","Evet, sana da iyi günler.",ost,3,3,3
"Hayal et, hepsini bir şey için!","Yani, hayal et, tüm bunlar bir hiç için!",ost,0,0,1
Acı çekmeye ve üzülmeye devam ediyoruz.,Hala acı ve keder hissediyoruz.,ost,2,2,2
"Onların yüzünü görmek, her şeye değerdi.","Yüzlerini görmek, buna değerdi.",ost,2,2,2
Hızlıca bir karar versek iyi olur.,Hızlı bir karar versek iyi olur.,ost,3,3,3
"Çenen bizi buralara getirdi, değil mi?","Bizi buraya getiren senin gob'undu, değil mi?",ost,1,1,1
Ama evlilik için hazır olmadığımı biliyordu.,Ama evliliğe hazır olmadığımı biliyordu.,ost,3,3,3
Sadece yapacak en iyi şey var.,Sadece en iyisi var.,ost,1,1,2
İstediği şeye adamın ihtiyacı olduğu çok belli.,Belli ki onun istediği şeye ihtiyacı var.,ost,3,3,3
50'den fazla Wamapoke'lu katledilmişti.,Ve 50'den fazla Wamapoke katledildi.,ost,2,2,3
"Makine kırıldı, bu yüzden kalmam lâzım.","Makine bozuldu, o yüzden kalmalıyım.",ost,2,3,2
Bugünkü açık artırma sona ermiş oldu.,Bu da bugünkü müzayedeyi sona erdiriyor.,ost,2,2,3
Babanla olan mesele neydi geçen gece?,Geçen sefer baban ne hakkında konuşuyordu?,ost,1,1,1
Bu geçişte ona yardımcı oluyorum ben.,Bu geçişte ona yardım ediyorum.,ost,3,3,3
En azından arabayı Atılgan'dan kiralasak?,En azından arabayı Atılgan'dan kiraladık mı?,ost,1,1,1
Hey çene çalmak için zamanımız yok.,"Hey, çene çalacak zaman yok!",ost,3,3,3
"Dogru, oyle çunku onları ben seçtim",Çünkü onları ben seçtim.,ost,2,2,2
"Saat geç oldu, kapıyı kapatmak zorundayım.","Geç oldu, kapıyı kapatmalıyım.",ost,2,2,3
Davadaki kadın kendine bir adam yaratmıştı.,Bu kadın adamı uydurmuş.,ost,1,1,2
O balonu senin için anlamı neydi?,"Ama top, sana ne?",ost,0,0,0
"Onu çok sevdim, çok güzel geçiniyoruz.","Onu seviyorum, çok eğleniyoruz.",ost,2,2,3
Orada ya gures izlersin ya baliga gidersin.,Ya güreş izlerdim ya da balık tutardım.,ost,1,1,2
"Bir doktora ihtiyacım olursa, seni arayacağım.",Doktora ihtiyacım olduğunda sesleneceğim.,ost,-1,1,3
Yol için de bir kadeh içmen gerekir,Yol için bir tane lazım.,ost,1,1,1
Sabahın bu kadar erken bir vaktinde mi geldi?,Sabahın bu saatinde mi geldi?,ost,2,3,2
Bir kaç yıla kadar evin rahibesi olabilirdi.,Birkaç yıl ev rahibesi olmuş olabilir.,ost,0,1,0
Bir gün eve geldim ve o gitmişti.,Eve geldiğimde gitmişti.,ost,2,2,2
Kayo evde mi diye kontrol eder misin?,Kayo'yu evimde kontrol eder misin?,ost,2,2,2
Bu konu hakkında çalışılan yerler var.,Onu inceleyen yerler var.,ost,3,3,3
Nikita'nın o kutuyu alması gerek.,Nikita o kutuya ulaşmalı.,ost,2,2,3
"Bu, sanırım, Lee'ye aynı şey oldu.",Sanırım Lee'ye olanlar buydu.,ost,2,2,3
Abin Sur gizli göreve çıkmaya gönüllü oldu.,Abin Sur gizli göreve çıkmayı teklif etti.,ost,-1,3,1
Belki bir üst düzey iblis için çalışıyordu.,Belki üst düzey bir iblis için çalışıyordu.,ost,3,3,3
Belki bunu ona götürsen daha iyi olur.,Belki de onunla konuşmalısın.,ost,-1,0,2
Şu işi kontrol altına alır mısınız?,Lütfen sessiz olur musunuz?,ost,0,0,0
"Nat, ne anneme ne bana öyle bir şey söylemedi.",Daha önce hiç böyle bir şey duymamıştım.,ost,2,2,2
O buraya geldiğinde yaşlanmış olmak istemem.,O buraya geldiğinde yaşlı olmak istemezdim.,ost,3,3,3
Aynı zamanda kız arkadaşım için de yaptım.,Bunu kız arkadaşım için de yaptım.,ost,3,3,3
"Ayrıca, eve gitmek için henüz çok erken.","Ayrıca, eve gitmek için daha çok erken.",ost,3,3,3
Allah'in yardimi ile zamaninda yetisecek.,Tanrı'nın lütfuyla zamanında yapılacak.,ost,3,3,3
Sen bu giysileri dün de mi giymiştin?,Dün bu kıyafetleri mi giyiyordun?,ost,3,3,3
Bu üçümüz için de iyi olmaz.,Bu üçümüz için iyi olmayacak.,ost,3,3,3
Sanırım şu anda bir yerlerde olmam gerekiyor.,Sanırım bir yerde olmam gerekiyor.,ost,2,2,2
Bir erkek çocuğu dünyaya getirdi ve öldü.,Bir erkek doğurdu ve öldü.,ost,3,3,3
"Şuncacık hayvan, ufacık canı var ya.",Küçük bir ruhu olan küçük bir şey.,ost,1,2,1
Kendini bir şey sana yabancılardan iyidir.,Yabancılardan daha iyi ve büyük bir adam gibi.,ost,0,0,0
"Kim oluyorsun da, bize iş buyuruyorsun?",Sen kimsin ki bize ne yapacağımızı söylüyorsun?,ost,2,3,2
"Evet, bunu ben de pek sevmiyorum.","Evet, bu da hoşuma gitmiyor.",ost,-1,2,0
Kay Coleman'ın yasak ilişkisine ait ipucu.,Kay Coleman'ın ilişkisinin kanıtı.,ost,2,2,2
ya da onun kolanyasının kokusunu aldın mı,Yoksa onun parfümünü mü sürdün?,ost,1,1,1
Taşınman için kutu falan ayarlayayım mı?,Sana hareket eden kutu getireyim mi?,ost,0,1,0
Okul kitapların hala arka koltukta duruyor.,Metin kitapların hala arka koltukta.,ost,1,1,1
"Ne bekliyorsun, Çin'de yeni yılı mı?","Ne bekliyorsun, Çin Yeni Yılı mı?",ost,2,3,2
Anne o maymunlar çok şirin ama.,"Anne, bu maymunlar gerçekten çok tatlı.",ost,2,2,2
"O, dans etmesi için Michelle'yi zorluyordu..",Michelle'i dans etmeye zorluyordu.,ost,3,3,3
Heralde şu adam Bosa ile evleniyor.,Muhtemelen o adam Bosa ile evleniyordur.,ost,3,3,3
Şimdi biraz gerçek polis işi seyret.,Şimdi biraz gerçek polis izle.,ost,3,3,3
Sinyor Ripley'yi en son ne zaman gördünüz?,Sinyor Ripley'i en son ne zaman gördünüz?,ost,3,3,3
The Barenaked Ladies çalacak burada yarın.,Çıplak Kadınlar yarın burada çalacak.,ost,2,2,3
Benim eskiden kaldığım tarzda bir daire.,Burası eskiden kaldığım bir süit.,ost,0,0,1
Dünya bir gecede yok olmayacak ya.,Dünyanın sonu bir gecede gelmeyecek.,ost,3,3,3
Bu hafta endişe etmen gereken tek hayvan benim.,Bu civardaki tek hayvan benim.,ost,1,1,1
"Madam, bu arzu edeceğim son şeydir.","Madam, bu isteyeceğim son şey.",ost,3,3,3
